City,Beach,Date,Enterococcus
BERTIOGA,ENSEADA - VISTA LINDA,2018-09-09,4
BERTIOGA,ENSEADA - VISTA LINDA,2018-09-16,2
BERTIOGA,ENSEADA - VISTA LINDA,2018-09-23,16
BERTIOGA,ENSEADA - VISTA LINDA,2018-09-30,2
BERTIOGA,ENSEADA - VISTA LINDA,2018-10-07,107
BERTIOGA,ENSEADA - VISTA LINDA,2018-10-14,84
BERTIOGA,ENSEADA - VISTA LINDA,2018-10-21,18
BERTIOGA,ENSEADA - VISTA LINDA,2018-10-28,29
BERTIOGA,ENSEADA - VISTA LINDA,2018-11-04,24
BERTIOGA,ENSEADA - VISTA LINDA,2018-11-11,5
BERTIOGA,ENSEADA - VISTA LINDA,2018-11-18,121
BERTIOGA,ENSEADA - VISTA LINDA,2018-11-25,1
BERTIOGA,ENSEADA - VISTA LINDA,2018-12-02,15
BERTIOGA,ENSEADA - VISTA LINDA,2018-12-09,68
BERTIOGA,ENSEADA - VISTA LINDA,2018-12-16,4
BERTIOGA,ENSEADA - VISTA LINDA,2018-12-23,43
BERTIOGA,ENSEADA - VISTA LINDA,2018-12-30,8
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-01-07,60
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-01-14,4
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-01-21,38
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-01-28,78
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-02-04,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-02-11,55
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-02-18,47
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-02-25,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-03-04,79
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-03-11,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-03-18,33
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-03-25,2
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-04-01,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-04-08,17
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-04-15,152
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-04-22,2
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-04-29,3
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-05-06,1
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-05-13,3
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-05-20,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-05-27,14
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-06-03,105
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-06-10,12
BERTIOGA,ENSEADA - COLÔNIA DO SESC,2018-06-17,40
